================================================================================
🏆 Full GPT 4o similarity Leaderboard (vs gpt-4o-2024-08-06
   Weighting: 85% Vibe (LLM raw) + 15% Content (Embedding min-max)
================================================================================
Rank  Model                                      Final     Embed     LLM      
--------------------------------------------------------------------------------
1     llama-4-scout                                64.6%     69.1%     63.8%
2     Mistral-Small-3.2-24B-Instruct-2506          64.5%     76.7%     62.3%
3     deepseek-v3.2-thinking                       64.3%     56.5%     65.6%
4     deepseek-v3.2                                62.3%     49.0%     64.6%
5     mimo-v2.5                                    60.4%     52.4%     61.8%
6     qwen3.5-397b-a17b                            59.5%     51.2%     61.0%
7     mimo-v2.5-pro-crof-thinking                  57.9%     52.1%     59.0%
8     qwen3.5-397b-a17b-thinking                   57.5%     39.1%     60.8%
9     deepseek-v4-flash-0731-thinking              57.5%     46.5%     59.4%
10    deepseek-v4-flash-0731                       56.8%     45.7%     58.8%
11    nemotron-3.5-lightning-thinking              56.8%     47.9%     58.4%
12    deepseek-v4-pro-0813-thinking                56.7%     40.3%     59.6%
13    mimo-v2.5-pro-crof                           56.7%     57.4%     56.6%
14    deepseek-v4-pro-0813                         56.6%     49.9%     57.7%
15    gemma-4-e2b-it                               56.3%     51.9%     57.1%
16    mistral-small-4-119b-2603                    56.3%     52.2%     57.0%
17    mimo-v2.5-thinking                           56.2%     38.4%     59.4%
18    mistral-large-3-675b-instruct-2512           55.9%     59.8%     55.2%
19    qwen3.5-35b-a3b-thinking                     55.8%     47.9%     57.2%
20    gemma-4-31b-it-thinking                      55.6%     41.8%     58.0%
21    qwen3.8-flash                                55.5%     42.0%     57.8%
22    nemotron-3.5-lightning                       55.4%     52.7%     55.9%
23    deepseek-v4-pro                              55.3%     34.5%     58.9%
24    nemotron-3-super-120b-a12b                   54.9%     60.9%     53.9%
25    glm-4.7-thinking                             54.8%     33.1%     58.6%
26    glm-4.7                                      54.3%     40.9%     56.7%
27    gemma-4-31b-it                               54.3%     39.8%     56.8%
28    nemotron-3-nano-omni-30b-a3b-reasoning       54.1%     60.9%     52.9%
29    deepseek-v4-pro-thinking                     53.5%     32.1%     57.3%
30    glm-5.1                                      52.9%     33.7%     56.2%
31    glm-4.7-flash-thinking                       52.4%     32.3%     55.9%
32    qwen3.6-35b-a3b-uncensored                   52.1%     40.4%     54.2%
33    deepseek-v3-0324                             52.1%     35.6%     55.0%
34    glm-5                                        52.0%     30.1%     55.8%
35    glm-4.7-flash                                51.8%     31.4%     55.4%
36    mistral-small-4-119b-2603-thinking           51.1%     24.1%     55.9%
37    qwen3.8-27b-uncensored-thinking              51.0%     32.7%     54.2%
38    minimax-m2.5                                 51.0%     19.9%     56.4%
39    glm-5.2                                      50.6%     30.9%     54.1%
40    DeepSeek-R1-0528                             50.3%     41.4%     51.9%
41    qwen3.8-27b-uncensored                       50.1%     40.5%     51.8%
42    gemma-4-26b-a4b-uncensored                   48.8%     35.2%     51.2%
43    minimax-m2.7                                 48.7%     16.9%     54.3%
44    kimi-k2.6-thinking                           48.7%     27.1%     52.5%
45    kimi-k2.5-thinking                           48.5%     19.6%     53.6%
46    kimi-k2-thinking                             48.1%     23.0%     52.5%
47    glm-5.2-thinking                             48.0%     26.3%     51.8%
48    glm-5.1-thinking                             47.7%     16.5%     53.2%
49    kimi-k2.5                                    47.2%     21.3%     51.8%
50    minimax-m3                                   46.9%     20.4%     51.6%
51    glm-5.3                                      46.6%     19.0%     51.4%
52    minimax-m3-thinking                          46.5%     17.7%     51.5%
53    deepseek-chat                                46.3%     18.2%     51.3%
54    qwen3.8-27b-thinking                         46.3%     18.9%     51.1%
55    kimi-k2.6                                    45.4%     20.1%     49.8%
56    gpt-oss-120b                                 43.6%     39.3%     44.4%
57    nemotron-3-ultra-550b-a55b                   41.2%      7.6%     47.1%
58    gpt-oss-20b                                  40.8%     49.1%     39.3%
59    glm-5.3-thinking                             40.7%      0.0%     47.9%
60    glm-5-thinking                               34.3%      6.0%     39.3%
